Measure_Times,L3,L5,L7,L13,M3,M4,M7,M8,,
2019/1/1 0:00,0.060505,,0.042392,0.053272,0.068879,0.050254,0.055275,0.086001,,0.040859
2019/1/1 0:30,0.061496,,0.042392,0.053522,0.068634,0.050506,0.055275,0.085763,,0.337
2019/1/1 1:00,0.060008,,0.042392,0.053522,0.068879,0.050506,0.055025,0.085525,,
2019/1/1 1:30,0.060505,,0.042392,0.053522,0.068879,0.050506,0.055025,0.085525,,
2019/1/1 2:00,0.05976,,0.042392,0.053522,0.068634,0.050254,0.055025,0.085287,,
2019/1/1 2:30,0.060257,,0.042392,0.053522,0.068389,0.050002,0.054775,0.085049,,
2019/1/1 3:00,0.060257,,0.042647,0.053272,0.068634,0.04975,0.054775,0.084811,,
2019/1/1 3:30,0.060008,,0.042392,0.053522,0.068389,0.050002,0.054775,0.084096,,
2019/1/1 4:00,0.060257,,0.042392,0.053021,0.068389,0.049497,0.054525,0.083857,,
2019/1/1 4:30,0.059015,,0.042137,0.053272,0.068144,0.049245,0.053773,0.083619,,
2019/1/1 5:00,0.05976,,0.042137,0.053021,0.068144,0.048992,0.053773,0.083619,,
2019/1/1 5:30,0.060008,,0.042137,0.053021,0.068144,0.048992,0.053522,0.083141,,
2019/1/1 6:00,0.057273,,0.042137,0.053021,0.067899,0.04874,0.053773,0.082663,,
2019/1/1 6:30,0.058269,,0.041881,0.05277,0.067654,0.04874,0.053272,0.082185,,
2019/1/1 7:00,0.058269,,0.041881,0.052267,0.067654,0.04874,0.053272,0.082185,,
2019/1/1 7:30,0.059512,,0.042137,0.053021,0.067409,0.048487,0.053522,0.081706,,
2019/1/1 8:00,0.056774,,0.041626,0.05277,0.067654,0.048487,0.053272,0.081706,,
2019/1/1 8:30,0.057522,,0.041626,0.052267,0.067409,0.048234,0.053272,0.081227,,
2019/1/1 9:00,0.059263,,0.041881,0.052267,0.067409,0.048487,0.053272,0.081706,,
2019/1/1 9:30,0.060008,,0.041881,0.05277,0.067654,0.048487,0.053272,0.082185,,
2019/1/1 10:00,0.058518,,0.042137,0.052518,0.067654,0.048487,0.054024,0.083141,,
2019/1/1 10:30,0.060505,,0.042137,0.052267,0.067899,0.04874,0.054525,0.084096,,
2019/1/1 11:00,0.060505,,0.042137,0.05277,0.068389,0.048992,0.054775,0.085049,,
2019/1/1 11:30,0.060257,,0.042392,0.05277,0.068879,0.049497,0.055525,0.086713,,
2019/1/1 12:00,0.061248,,0.042902,0.05277,0.069123,0.050254,0.055275,0.087899,,
2019/1/1 12:30,0.062485,,0.042647,0.053272,0.069368,0.050506,0.056524,0.088846,,
2019/1/1 13:00,0.060008,,0.043157,0.053021,0.070101,0.05101,0.056774,0.090028,,
2019/1/1 13:30,0.062979,,0.043666,0.053272,0.070345,0.051765,0.056774,0.0905,,
2019/1/1 14:00,0.062979,,0.043921,0.053522,0.070345,0.052016,0.057522,0.091442,,
2019/1/1 14:30,0.063473,,0.04443,0.053272,0.070589,0.052267,0.057522,0.092149,,
2019/1/1 15:00,0.062732,,0.043921,0.053773,0.070832,0.052267,0.058269,0.092149,,
2019/1/1 15:30,0.063473,,0.043921,0.054274,0.070832,0.052518,0.057771,0.091678,,
2019/1/1 16:00,0.063226,,0.044176,0.054274,0.070589,0.052518,0.057771,0.091442,,
2019/1/1 16:30,0.061248,,0.043666,0.054274,0.070345,0.052518,0.057522,0.090736,,
2019/1/1 17:00,0.061,,0.043921,0.054274,0.069856,0.052267,0.057522,0.090028,,
2019/1/1 17:30,0.061991,,0.043412,0.054525,0.070101,0.051765,0.056774,0.088846,,
2019/1/1 18:00,0.061,,0.043921,0.054525,0.069612,0.051513,0.056275,0.088373,,
2019/1/1 18:30,0.060753,,0.043412,0.054274,0.069123,0.05101,0.056025,0.087425,,
2019/1/1 19:00,0.060257,,0.042647,0.053021,0.068879,0.050506,0.055775,0.086713,,
2019/1/1 19:30,0.059263,,0.042647,0.053522,0.068634,0.050506,0.055275,0.086001,,
2019/1/1 20:00,0.058518,,0.042902,0.053773,0.068634,0.050254,0.055275,0.085287,,
2019/1/1 20:30,0.057522,,0.042392,0.053021,0.067899,0.050002,0.054775,0.084811,,
2019/1/1 21:00,0.057273,,0.042647,0.053773,0.068144,0.04975,0.054775,0.084573,,
2019/1/1 21:30,0.057273,,0.042137,0.053272,0.067654,0.04975,0.054775,0.083857,,
2019/1/1 22:00,0.059015,,0.042137,0.053272,0.067654,0.049497,0.054525,0.083857,,
2019/1/1 22:30,0.057273,,0.042137,0.053272,0.067654,0.04874,0.054274,0.083619,,
2019/1/1 23:00,0.056774,,0.041881,0.053021,0.067654,0.04874,0.053773,0.08338,,
2019/1/1 23:30,0.05802,,0.041626,0.05277,0.067409,0.04874,0.053773,0.082663,,
2019/1/2 0:00,0.057522,,0.04137,0.052518,0.067164,0.048487,0.053522,0.082185,,
2019/1/2 0:30,0.056774,,0.041626,0.05277,0.067164,0.048487,0.053272,0.081706,,
2019/1/2 1:00,0.057023,,0.04137,0.053272,0.067164,0.048487,0.053272,0.081706,,
2019/1/2 1:30,0.056524,,0.041115,0.05277,0.067164,0.048234,0.053522,0.081946,,
2019/1/2 2:00,0.05802,,0.04137,0.052016,0.067164,0.048234,0.053522,0.081706,,
2019/1/2 2:30,0.058269,,0.04137,0.052267,0.067409,0.048234,0.053272,0.081227,,
2019/1/2 3:00,0.056275,,0.041115,0.052016,0.067164,0.047728,0.053272,0.081467,,
2019/1/2 3:30,0.05802,,0.041115,0.052016,0.067409,0.047728,0.053272,0.081706,,
2019/1/2 4:00,0.05802,,0.041115,0.052016,0.067164,0.047728,0.053272,0.081227,,
2019/1/2 4:30,0.057023,,0.04137,0.052518,0.067409,0.047475,0.053272,0.081227,,
2019/1/2 5:00,0.05802,,0.040859,0.052518,0.067409,0.047475,0.053021,0.081227,,
2019/1/2 5:30,0.057522,,0.041115,0.052016,0.067164,0.047475,0.052016,0.081467,,
2019/1/2 6:00,0.058269,,0.041115,0.052016,0.067164,0.047222,0.053021,0.081467,,
2019/1/2 6:30,0.055775,,0.041115,0.052016,0.066673,0.047222,0.052518,0.081467,,
2019/1/2 7:00,0.055775,,0.041115,0.052267,0.066919,0.046969,0.05277,0.081467,,
2019/1/2 7:30,0.056774,,0.041115,0.052518,0.066673,0.046969,0.052518,0.081467,,
2019/1/2 8:00,0.057771,,0.041115,0.053021,0.066673,0.046969,0.052518,0.081227,,
2019/1/2 8:30,0.058518,,0.040859,0.052267,0.066673,0.046969,0.053021,0.081467,,
2019/1/2 9:00,0.057771,,0.041115,0.052518,0.067164,0.047222,0.052267,0.082185,,
2019/1/2 9:30,0.060008,,0.041115,0.053272,0.067409,0.047475,0.053272,0.082663,,
2019/1/2 10:00,0.05976,,0.041115,0.052518,0.067654,0.047981,0.054024,0.083619,,
2019/1/2 10:30,0.05976,,0.04137,0.053272,0.067899,0.048487,0.054775,0.084573,,
2019/1/2 11:00,0.061496,,0.041626,0.053021,0.068634,0.048992,0.055525,0.085287,,
2019/1/2 11:30,0.060753,,0.042392,0.052518,0.069368,0.050002,0.055525,0.086951,,
2019/1/2 12:00,0.061743,,0.042392,0.053773,0.069612,0.050506,0.057273,0.088373,,
2019/1/2 12:30,0.061248,,0.043157,0.053522,0.070345,0.05101,0.05802,0.089555,,
2019/1/2 13:00,0.063226,,0.043921,0.054024,0.070589,0.052016,0.058269,0.090971,,
2019/1/2 13:30,0.063226,,0.044176,0.053773,0.071076,0.052518,0.058766,0.092384,,
2019/1/2 14:00,0.064213,0.101,0.044176,0.054525,0.07132,0.05277,0.05976,0.093323,,
2019/1/2 14:30,0.065444,0.102,0.043921,0.055025,0.071564,0.053522,0.060505,0.094262,,
2019/1/2 15:00,0.06372,0.102,0.04443,0.055525,0.071807,0.054024,0.060753,0.094496,,
2019/1/2 15:30,0.065936,0.102,0.045193,0.055275,0.07205,0.054274,0.060257,0.094496,,
2019/1/2 16:00,0.06569,0.102,0.044684,0.055775,0.071807,0.054525,0.061,0.094496,,
2019/1/2 16:30,0.06569,0.101,0.04443,0.055775,0.071807,0.054274,0.060008,0.094262,,
2019/1/2 17:00,0.065444,0.101,0.04443,0.055775,0.071564,0.054024,0.059512,0.093558,,
2019/1/2 17:30,0.06446,0.101,0.043921,0.056025,0.071076,0.053773,0.058518,0.092384,,
2019/1/2 18:00,0.06446,0.101,0.043921,0.056025,0.070589,0.053021,0.058518,0.091442,,
2019/1/2 18:30,0.063226,0.1,0.043666,0.055775,0.070589,0.05277,0.058269,0.090736,,
2019/1/2 19:00,0.062485,0.1,0.043412,0.055775,0.070345,0.052518,0.057771,0.090264,,
2019/1/2 19:30,0.062979,0.099,0.043157,0.055775,0.069856,0.052267,0.05802,0.090028,,
2019/1/2 20:00,0.062485,0.098,0.042902,0.055525,0.069856,0.052016,0.056774,0.089319,,
2019/1/2 20:30,0.061991,0.099,0.042647,0.055525,0.069612,0.051513,0.057023,0.088846,,
2019/1/2 21:00,0.061496,0.098,0.042647,0.055775,0.069612,0.051261,0.056524,0.08861,,
2019/1/2 21:30,0.063226,0.098,0.042392,0.055775,0.069612,0.05101,0.056774,0.08861,,
2019/1/2 22:00,0.062979,0.098,0.042392,0.055025,0.069123,0.050758,0.056025,0.088373,,
2019/1/2 22:30,0.062732,0.098,0.042392,0.055525,0.069123,0.050758,0.056275,0.088136,,
2019/1/2 23:00,0.061248,0.097,0.042392,0.055525,0.069123,0.050506,0.056025,0.087899,,
2019/1/2 23:30,0.060505,0.098,0.042647,0.055775,0.069368,0.050506,0.056025,0.087899,,
2019/1/3 0:00,0.061743,0.097,0.042392,0.054775,0.069368,0.050506,0.055775,0.088136,,
2019/1/3 0:30,0.062238,0.097,0.042392,0.055775,0.069123,0.050254,0.055525,0.087899,,
2019/1/3 1:00,0.061496,0.097,0.042392,0.054775,0.069368,0.050254,0.055775,0.088373,,
2019/1/3 1:30,0.062732,0.098,0.042392,0.055025,0.069612,0.050254,0.056025,0.08861,,
2019/1/3 2:00,0.061248,0.097,0.042392,0.055025,0.069856,0.050254,0.056524,0.08861,,
2019/1/3 2:30,0.06372,0.098,0.042392,0.055275,0.069612,0.050254,0.056524,0.088846,,
2019/1/3 3:00,0.063473,0.098,0.042137,0.055275,0.070345,0.050506,0.056524,0.088846,,
2019/1/3 3:30,0.062238,0.098,0.042392,0.055775,0.070345,0.050758,0.056774,0.088846,,
